Item,Shares,Value ($)
Cash,0.0,9.879999999995542
ABBV,42.1974,7579.92
AKAM,7.989,879.03
CBOE,82.604,15185.1
CEG,4.252,713.953335571289
COR,44.5167,10580.728929949952
FANG,38.564,7115.06
FAST,7.3816,548.61
GRMN,12.4183,1812.9476852157593
IBM,9.1637,1756.96
JNPR,84.9201,3142.05
LDOS,24.5428,3123.08
LLY,3.7941000000000003,2786.28
META,3.5055,1695.2247321624757
MOH,5.3049,2134.002064718628
MPC,0.2776,50.35941701660156
NFLX,2.4244,1456.894674243164
NRG,92.53750000000001,5593.9
NVDA,4.2943,3683.3928400634763
NWS,10.3218,281.89
PGR,36.3304,7147.65
PKG,1.4694,275.776981237793
PSX,39.8915,5963.380554130555
QCOM,11.405,1951.6235443115233
RL,8.1758,1458.4809570098878
STX,15.35,1408.21
T,25.6226,444.04
TSN,34.377300000000005,1915.85
UBER,2.8213,218.56611444396972
VLTO,27.9138,2477.62894763031
WAT,9.8531,3486.6178216674803
WDC,2.9833,185.12
WM,0.9943,208.0871027862549
WRK,58.901999999999994,2729.52
