Item,Shares,Value ($)
Cash,0.0,10.089999999996166
ABBV,28.034000000000006,4941.56
CBOE,81.2328,14881.85
CEG,2.0401999999999996,358.49
CI,0.03469999999999995,12.28
COR,51.284,12404.07
FANG,34.3556,6627.2
FAST,33.793,2624.37
GRMN,7.950099999999999,1166.13
IBM,3.2944000000000004,638.99
JNPR,79.3925,2923.24
KEY,-0.00030000000000000165,0.0
LDOS,15.126999999999999,1934.45
LLY,3.9952999999999994,3087.81
META,4.168899999999999,2107.47
MOH,5.719600000000001,2379.93
MPC,7.2684,1437.33
NFLX,2.5999,1631.94
NRG,123.1009,8265.0
NVDA,3.7939000000000003,3428.63
NWS,-0.0002999999999993008,0.0
PGR,33.501799999999996,6892.0
PSX,36.3651,5773.33
QCOM,9.6484,1617.75
RL,11.3537,2160.84
STX,7.4588,652.05
T,-9.999999999976694e-05,0.0
TSN,52.07550000000001,3004.76
VLTO,20.978399999999997,1848.62
WAT,9.249799999999999,3222.27
WDC,3.3718,204.74
WM,2.9837000000000002,632.13
WRK,74.7224,3694.28
AKAM,3.5037000000000003,384.01
ANET,0.6376999999999999,189.13
CB,0.0562,14.53
HIG,6.446,651.82
UBER,0.206,16.2
