ticker,open_price,current_price,year_high,year_low,company_name
A,130.31,130.54,159.59,96.8,"Agilent Technologies, Inc."
AAL,13.93,13.21,19.08,10.86,"American Airlines Group, Inc."
AAPL,186.06,185.92,199.62,133.77,Apple Inc.
ABBV,162.75,162.4,166.2,130.96,AbbVie Inc.
ABNB,139.35,137.14,154.95,97.57,"Airbnb, Inc."
ABT,114.17,113.92,115.83,89.67,Abbott Laboratories
ACGL,77.73,77.69,90.65,60.7,Arch Capital Group Ltd.
ACN,350.0,356.33,357.66,242.8,Accenture plc
ADBE,598.39,596.54,633.89,318.6,Adobe Inc.
ADI,189.69,188.36,202.77,154.99,"Analog Devices, Inc."
ADM,70.0,69.56,89.32,69.01,Archer-Daniels-Midland Company
ADP,236.65,235.95,256.84,201.46,"Automatic Data Processing, Inc."
ADSK,242.47,242.44,245.88,188.38,"Autodesk, Inc."
AEE,72.64,71.89,91.18,69.71,Ameren Corporation
AEP,80.86,81.49,96.05,69.38,American Electric Power Company
AES,18.18,18.44,28.18,11.43,The AES Corporation
AFL,82.92,82.74,84.64,60.2,AFLAC Incorporated
AIG,67.48,67.5,69.76,45.66,"American International Group, I"
AIZ,166.07,164.64,173.61,104.49,"Assurant, Inc."
AJG,232.61,234.8,254.0,174.45,Arthur J. Gallagher & Co.
AKAM,117.95,118.1,120.61,70.65,"Akamai Technologies, Inc."
ALB,128.79,126.05,293.01,112.0,Albemarle Corporation
ALGN,276.36,271.64,413.2,176.34,"Align Technology, Inc."
ALL,151.0,151.03,152.0,100.57,Allstate Corporation (The)
ALLE,121.99,119.78,128.43,95.94,Allegion plc
AMAT,152.2,151.25,165.01,106.09,"Applied Materials, Inc."
AMCR,9.91,9.75,12.31,8.45,Amcor plc
AMD,148.04,146.56,151.05,67.27,"Advanced Micro Devices, Inc."
AME,164.92,163.44,165.52,131.52,"AMETEK, Inc."
AMGN,305.24,306.51,311.05,211.71,Amgen Inc.
AMP,380.46,376.4,386.33,275.09,"Ameriprise Financial, Inc."
AMT,209.67,209.43,235.57,154.58,American Tower Corporation (REI
AMZN,155.39,154.62,157.17,88.12,"Amazon.com, Inc."
ANET,252.0,252.03,254.73,111.0,"Arista Networks, Inc."
ANSS,357.0,346.48,364.31,248.0,"ANSYS, Inc."
AON,299.62,300.24,347.37,280.89,Aon plc
AOS,81.26,81.11,82.77,57.45,A.O. Smith Corporation
APA,33.08,32.54,46.98,30.67,APA Corporation
APD,265.96,264.13,320.9,251.63,"Air Products and Chemicals, Inc"
APH,96.87,96.5,99.93,72.0,Amphenol Corporation
APTV,84.22,80.88,124.88,71.01,Aptiv PLC
ARE,127.46,126.25,172.65,90.73,Alexandria Real Estate Equities
ATO,116.17,115.79,125.28,101.0,Atmos Energy Corporation
AVB,184.7,182.54,198.66,153.07,"AvalonBay Communities, Inc."
AVGO,1112.1,1107.68,1151.82,559.11,Broadcom Inc.
AVY,198.21,197.12,203.7,158.93,Avery Dennison Corporation
AWK,132.3,132.21,162.59,114.25,"American Water Works Company, I"
AXON,250.81,250.69,260.69,168.3,"Axon Enterprise, Inc."
AXP,185.83,182.04,189.51,140.91,American Express Company
AZO,2540.08,2569.1,2750.0,2277.88,"AutoZone, Inc."
BA,219.97,217.7,267.54,176.25,Boeing Company (The)
BAC,32.25,32.8,37.0,24.96,Bank of America Corporation
BALL,57.04,56.36,62.14,42.81,Ball Corporation
BAX,40.25,40.0,50.21,31.01,Baxter International Inc.
BBWI,43.64,42.21,49.55,27.3,"Bath & Body Works, Inc."
BBY,74.99,73.86,93.32,62.3,"Best Buy Co., Inc."
BDX,236.54,236.27,287.32,228.62,"Becton, Dickinson and Company"
BEN,28.94,28.4,34.37,21.88,"Franklin Resources, Inc."
BG,96.08,94.89,116.59,87.87,Bunge Limited
BIIB,248.17,248.12,319.76,220.86,Biogen Inc.
BIO,323.11,318.56,509.62,261.59,"Bio-Rad Laboratories, Inc."
BK,55.0,54.85,55.284,39.65,The Bank of New York Mellon Cor
BKNG,3572.19,3502.4,3580.62,2268.36,Booking Holdings Inc. Common St
BKR,31.69,31.52,37.58,26.12,Baker Hughes Company
BLDR,168.78,167.39,171.03,68.94,"Builders FirstSource, Inc."
BLK,785.0,799.6,819.0,596.18,"BlackRock, Inc."
BMY,50.39,50.31,75.18,48.25,Bristol-Myers Squibb Company
BR,202.11,202.6,207.29,133.97,"Broadridge Financial Solutions,"
BRO,73.45,74.48,76.25,52.82,"Brown & Brown, Inc."
BSX,59.94,59.94,60.64,44.79,Boston Scientific Corporation
BWA,34.18,32.79,47.05,31.63,BorgWarner Inc.
BX,120.48,119.34,133.53,76.19,Blackstone Inc.
BXP,70.97,69.96,79.42,46.18,"Boston Properties, Inc."
C,52.3,52.62,54.75,38.17,"Citigroup, Inc."
CAG,28.89,28.95,40.31,25.16,"ConAgra Brands, Inc."
CAH,105.72,105.79,108.85,68.53,"Cardinal Health, Inc."
CARR,57.14,56.14,60.04,40.28,Carrier Global Corporation
CAT,295.27,290.41,299.2,204.04,"Caterpillar, Inc."
CB,228.7,227.55,231.37,183.4,Chubb Limited
CBOE,177.94,180.68,183.74,116.11,"Cboe Global Markets, Inc."
CBRE,85.79,85.26,94.27,64.63,CBRE Group Inc
CCI,113.86,112.71,153.98,84.72,Crown Castle Inc.
CCL,17.53,16.96,19.74,8.37,Carnival Corporation
CDAY,65.21,65.31,79.66,55.62,Ceridian HCM Holding Inc.
CDNS,267.67,268.5,279.33,169.41,"Cadence Design Systems, Inc."
CDW,222.06,219.14,229.42,160.66,CDW Corporation
CE,149.22,147.37,159.06,97.12,Celanese Corporation
CEG,113.94,112.91,127.24,71.16,Constellation Energy Corporatio
CF,79.54,77.19,91.23,60.08,"CF Industries Holdings, Inc."
CFG,32.76,31.64,44.82,22.77,"Citizens Financial Group, Inc."
CHD,97.87,97.65,100.52,78.63,"Church & Dwight Company, Inc."
CHRW,87.49,86.87,108.05,78.69,"C.H. Robinson Worldwide, Inc."
CHTR,369.09,364.9,458.3,315.02,"Charter Communications, Inc."
CI,303.0,305.01,319.92,240.5,The Cigna Group
CINF,108.87,107.37,130.66,95.01,Cincinnati Financial Corporatio
CL,81.09,80.91,82.09,67.62,Colgate-Palmolive Company
CLX,143.06,143.3,178.21,114.69,Clorox Company (The)
CMA,55.58,54.11,77.34,28.4,Comerica Incorporated
CMCSA,43.42,42.99,47.46,34.63,Comcast Corporation
CME,198.0,197.54,223.8,171.93,CME Group Inc.
CMG,2278.83,2271.9,2348.42,1470.05,"Chipotle Mexican Grill, Inc."
CMI,239.98,237.15,265.28,203.18,Cummins Inc.
CMS,58.13,58.1,64.67,49.87,CMS Energy Corporation
CNC,77.38,78.81,79.83,60.83,Centene Corporation
CNP,28.57,28.57,31.44,25.42,"CenterPoint Energy, Inc (Holdin"
COF,128.62,127.7,134.26,83.93,Capital One Financial Corporati
COO,384.31,383.77,399.62,303.74,"The Cooper Companies, Inc."
COP,113.0,111.7,127.35,91.53,ConocoPhillips
COR,219.39,219.43,220.12,147.48,"Cencora, Inc."
COST,677.5,683.24,683.72,465.33,Costco Wholesale Corporation
CPB,43.74,43.42,56.04,37.94,Campbell Soup Company
