DateTime,Ticker,Old Balance,Transaction Amount,New Balance
2024-03-14,A,0.0,0.03,0.03
2024-03-14,ABBV,0.0,7510.59,7510.59
2024-03-14,AKAM,0.0,748.31,748.31
2024-03-14,CBOE,0.0,14589.35,14589.35
2024-03-14,CEG,0.0,505.74,505.74
2024-03-14,CI,0.0,0.11,0.11
2024-03-14,COR,0.0,10764.18,10764.18
2024-03-14,DVA,0.0,135.3,135.3
2024-03-14,FANG,0.0,7032.19,7032.19
2024-03-14,FAST,0.0,683.46,683.46
2024-03-14,GRMN,0.0,2235.84,2235.84
2024-03-14,IBM,0.0,2500.26,2500.26
2024-03-14,JNPR,0.0,3121.37,3121.37
2024-03-14,KEY,0.0,0.74,0.74
2024-03-14,LDOS,0.0,2907.55,2907.55
2024-03-14,LLY,0.0,2938.57,2938.57
2024-03-14,MCK,0.0,0.16,0.16
2024-03-14,META,0.0,1722.59,1722.59
2024-03-14,MOH,0.0,2159.85,2159.85
2024-03-14,MPC,0.0,0.31,0.31
2024-03-14,NFLX,0.0,1429.08,1429.08
2024-03-14,NRG,0.0,5996.5,5996.5
2024-03-14,NVDA,0.0,3964.49,3964.49
2024-03-14,NWS,0.0,305.38,305.38
2024-03-14,PGR,0.0,7223.76,7223.76
2024-03-14,PSX,0.0,5855.28,5855.28
2024-03-14,QCOM,0.0,1909.49,1909.49
2024-03-14,RL,0.0,1382.22,1382.22
2024-03-14,STX,0.0,1041.75,1041.75
2024-03-14,T,0.0,286.83,286.83
2024-03-14,TGT,0.0,0.04,0.04
2024-03-14,TSN,0.0,1884.63,1884.63
2024-03-14,UBER,0.0,0.57,0.57
2024-03-14,VLTO,0.0,2090.33,2090.33
2024-03-14,WAT,0.0,3482.24,3482.24
2024-03-14,WDC,0.0,275.61,275.61
2024-03-14,WM,0.0,207.51,207.51
2024-03-14,WRK,0.0,3097.97,3097.97
