Date,Ticker,Old Balance,Transaction Amount,New Balance
3/14/24,A,0,0.03,0.03
3/14/24,ABBV,0,7510.59,7510.59
3/14/24,AKAM,0,748.31,748.31
3/14/24,CBOE,0,14589.35,14589.35
3/14/24,CEG,0,505.74,505.74
3/14/24,CI,0,0.11,0.11
3/14/24,COR,0,10764.18,10764.18
3/14/24,DVA,0,135.3,135.3
3/14/24,FANG,0,7032.19,7032.19
3/14/24,FAST,0,683.46,683.46
3/14/24,GRMN,0,2235.84,2235.84
3/14/24,IBM,0,2500.26,2500.26
3/14/24,JNPR,0,3121.37,3121.37
3/14/24,KEY,0,0.74,0.74
3/14/24,LDOS,0,2907.55,2907.55
3/14/24,LLY,0,2938.57,2938.57
3/14/24,MCK,0,0.16,0.16
3/14/24,META,0,1722.59,1722.59
3/14/24,MOH,0,2159.85,2159.85
3/14/24,MPC,0,0.31,0.31
3/14/24,NFLX,0,1429.08,1429.08
3/14/24,NRG,0,5996.5,5996.5
3/14/24,NVDA,0,3964.49,3964.49
3/14/24,NWS,0,305.38,305.38
3/14/24,PGR,0,7223.76,7223.76
3/14/24,PSX,0,5855.28,5855.28
3/14/24,QCOM,0,1909.49,1909.49
3/14/24,RL,0,1382.22,1382.22
3/14/24,STX,0,1041.75,1041.75
3/14/24,T,0,286.83,286.83
3/14/24,TGT,0,0.04,0.04
3/14/24,TSN,0,1884.63,1884.63
3/14/24,UBER,0,0.57,0.57
3/14/24,VLTO,0,2090.33,2090.33
3/14/24,WAT,0,3482.24,3482.24
3/14/24,WDC,0,275.61,275.61
3/14/24,WM,0,207.51,207.51
3/14/24,WRK,0,3097.97,3097.97
3/15/24,A,0.03,-0.02,0
3/15/24,ABBV,7466.59,-532.7,6933.88
3/15/24,AKAM,746.61,-189.24,557.36
3/15/24,CB,0,77.91,77.91
3/15/24,CBOE,14733.88,635.19,15369.07
3/15/24,CEG,504.21,23.1,527.3
3/15/24,CI,0.11,42.86,42.97
3/15/24,COR,10643.14,-925.08,9718.05
3/15/24,DVA,134.39,-112.45,21.93
3/15/24,FANG,7148.05,-32.22,7115.82
3/15/24,FAST,681.47,263.53,944.99
3/15/24,GRMN,2223.34,18.28,2241.61
3/15/24,HIG,0,6.88,6.88
3/15/24,IBM,2486.61,-122.64,2363.97
3/15/24,JNPR,3099.35,8.45,3107.79
3/15/24,KEY,0.75,-0.74,0
3/15/24,LDOS,2917.84,212.75,3130.58
3/15/24,LLY,2949.82,-70.63,2879.19
3/15/24,MCK,0.16,-0.15,0
3/15/24,META,1708.19,33.21,1741.39
3/15/24,MOH,2172.4,15.59,2187.99
3/15/24,MPC,0.33,674.87,675.19
3/15/24,NFLX,1425.26,-27.42,1397.84
3/15/24,NRG,6009.98,-96.22,5913.75
3/15/24,NVDA,3920.28,51.54,3971.81
3/15/24,NWS,305.72,15.57,321.28
3/15/24,PGR,7252.8,-273.86,6978.94
3/15/24,PSX,6014.93,503.3,6518.22
3/15/24,QCOM,1867.24,-610.63,1256.6
3/15/24,RL,1400.29,265.45,1665.73
3/15/24,STX,1013.85,-491.58,522.26
3/15/24,T,286.67,-97.65,189.01
3/15/24,TGT,0.04,-0.03,0
3/15/24,TSN,1900.96,84.33,1985.29
3/15/24,UBER,0.57,78.77,79.33
3/15/24,VLTO,2106.17,473.63,2579.8
3/15/24,WAT,3466.76,16.15,3482.91
3/15/24,WDC,273.46,387.51,660.96
3/15/24,WM,207.96,146.42,354.38
3/15/24,WRK,3097.31,-451.91,2645.4
2024-03-19,ABBV,6466.78,0.02,6466.8
2024-03-19,AKAM,-0.01,0.02,0.0
2024-03-19,CBOE,15268.63,-0.01,15268.61
2024-03-19,COR,11661.72,-0.07,11661.65
2024-03-19,DVA,-0.01,0.02,0.0
2024-03-19,FAST,1556.85,0.01,1556.85
2024-03-19,GRMN,1732.35,-0.01,1732.33
2024-03-19,LDOS,2787.73,-0.01,2787.71
2024-03-19,LLY,2922.64,-0.07,2922.56
2024-03-19,META,1758.11,-0.04,1758.06
2024-03-19,MPC,1063.26,0.02,1063.28
2024-03-19,NRG,7553.42,0.01,7553.43
2024-03-19,PGR,7301.97,-0.02,7301.95
2024-03-19,PSX,6549.32,-0.01,6549.31
2024-03-19,RL,1499.46,-0.01,1499.44
2024-03-20,ABBV,6488.97,164.41,6653.38
2024-03-20,AKAM,0.0,182.39,182.39
2024-03-20,ANET,0.0,155.86,155.86
2024-03-20,CBOE,15283.59,-158.68,15124.91
2024-03-20,CEG,126.26,82.75,209.01
2024-03-20,CI,233.45,-179.62,53.82
2024-03-20,COR,11714.52,40.83,11755.34
2024-03-20,FANG,6711.19,111.3,6822.49
2024-03-20,FAST,1570.76,196.43,1767.18
2024-03-20,GRMN,1735.42,-121.75,1613.66
2024-03-20,IBM,635.82,80.0,715.81
2024-03-20,JNPR,2980.07,118.02,3098.09
2024-03-20,LDOS,2753.5,-862.23,1891.26
2024-03-20,LLY,2955.46,-60.4,2895.06
2024-03-20,META,1804.84,248.2,2053.03
2024-03-20,MOH,2045.39,224.63,2270.02
2024-03-20,MPC,1061.3,312.59,1373.89
2024-03-20,NFLX,1511.47,220.4,1731.87
2024-03-20,NRG,7679.85,288.02,7967.87
2024-03-20,NVDA,3838.24,-235.02,3603.22
2024-03-20,PGR,7356.48,-129.46,7227.02
2024-03-20,PSX,6455.82,-770.69,5685.13
2024-03-20,QCOM,1712.64,5.25,1717.88
2024-03-20,RL,1510.92,101.47,1612.38
2024-03-20,STX,484.16,-47.79,436.36
2024-03-20,TSN,1992.0,305.67,2297.66
2024-03-20,VLTO,1486.02,47.04,1533.05
2024-03-20,WAT,3902.42,-326.05,3576.36
2024-03-20,WDC,345.34,-248.9,96.43
2024-03-20,WM,344.24,417.57,761.81
2024-03-20,WRK,4058.82,-162.22,3896.59
